task_id,family,parent_correct,derived_correct,parent_valid_proof,derived_valid_proof,parent_nodes_visited,parent_edges_examined,parent_search_steps,parent_compute_credits,derived_nodes_visited,derived_edges_examined,derived_search_steps,derived_compute_credits,delta_nodes_visited,delta_edges_examined,delta_search_steps,delta_compute_credits
test-4b10d77d77d8add5,intersection,True,True,True,True,4,10,33,37,4,10,33,37,0,0,0,0
test-6e4285d4712fc714,path,True,True,True,True,11,77,33,44,11,77,33,44,0,0,0,0
test-0267884020e74340,distractor,True,True,True,True,4,10,33,37,4,10,33,37,0,0,0,0
test-0079512eb1b1f3fc,semantic_hybrid,True,True,True,True,6,17,33,39,6,17,33,39,0,0,0,0
test-2bc4b7a4f1e39c50,robustness,True,True,True,True,8,47,33,41,8,47,33,41,0,0,0,0
test-4b4d99cf80838d89,path,True,True,True,True,10,33,33,43,10,33,33,43,0,0,0,0
test-5b2a646dbece22ea,path,True,True,True,True,7,38,33,40,7,38,33,40,0,0,0,0
test-3ad47ed1f2783292,distractor,True,True,True,True,4,32,33,37,4,32,33,37,0,0,0,0
test-0335feb737cda01f,intersection,True,True,True,True,1,10,33,34,1,10,33,34,0,0,0,0
test-5b11d633236d5519,path,True,True,True,True,2309,18024,33,2342,2309,18024,33,2342,0,0,0,0
test-1bc1b82054928bc6,distractor,True,True,True,True,8,29,33,41,8,29,33,41,0,0,0,0
test-016e8e7df204592b,semantic_hybrid,True,True,True,True,5,150,33,38,5,150,33,38,0,0,0,0
test-7c0d2960eb2560b9,robustness,True,True,True,True,167,1673,33,200,167,1673,33,200,0,0,0,0
test-22a2ad8e7640161f,path,True,True,True,True,367,17469,33,400,367,17469,33,400,0,0,0,0
test-2315640381c8e6de,path,True,True,True,True,5,14,33,38,5,14,33,38,0,0,0,0
test-71ae97326cc9d81e,distractor,True,True,True,True,5,213,33,38,5,213,33,38,0,0,0,0
test-7079b434dee0bdae,intersection,True,True,True,True,1,2,33,34,1,2,33,34,0,0,0,0
test-2a088c320e0aba39,path,True,True,True,True,170,384,33,203,170,384,33,203,0,0,0,0
test-7865c7ee714ae535,distractor,True,True,True,True,124,2946,33,157,124,2946,33,157,0,0,0,0
test-5b5db0497a6d5a1e,semantic_hybrid,True,True,True,True,1429,8847,33,1462,1429,8847,33,1462,0,0,0,0
test-051da9c6e7aaff45,robustness,True,True,True,True,2,7,33,35,2,7,33,35,0,0,0,0
test-449c858f9a640356,path,True,True,True,True,33,41,33,66,33,41,33,66,0,0,0,0
test-69bb7e9e6df901c5,path,True,True,True,True,219,10252,33,252,219,10252,33,252,0,0,0,0
test-159810706e29a95f,distractor,True,True,True,True,4,8,33,37,4,8,33,37,0,0,0,0
test-1521bf9f4c33b94c,intersection,True,True,True,True,1,2,33,34,1,2,33,34,0,0,0,0
test-37bc4d9f4d2109ff,path,True,True,True,True,15,69,33,48,15,69,33,48,0,0,0,0
test-1c6eb082944c33a7,distractor,True,True,True,True,29,357,33,62,29,357,33,62,0,0,0,0
test-1ae86cdc4a75ff72,semantic_hybrid,True,True,True,True,8,50,33,41,8,50,33,41,0,0,0,0
test-5b662f8742673888,robustness,True,True,True,True,3,20,33,36,3,20,33,36,0,0,0,0
test-72240a2e1c490cd4,path,True,True,True,True,29,203,33,62,29,203,33,62,0,0,0,0
test-00ef255d36406557,path,True,True,True,True,33,125,33,66,33,125,33,66,0,0,0,0
test-26665c34959ad650,distractor,True,True,True,True,13,202,33,46,13,202,33,46,0,0,0,0
test-3fcdafe9ad5ca66e,intersection,True,True,True,True,2,3,33,35,2,3,33,35,0,0,0,0
test-46879a9cd2a915e8,path,True,True,True,True,17,135,33,50,17,135,33,50,0,0,0,0
