ts_unix,global_step,phase,reward,success_rate,proof_validity,nodes_per_query,edges_per_query
1786639978.3686464,3125824,jetson_specialization,0.5669080448732557,0.5625,0.5625,23.8125,104.625
1786639978.961306,3125840,jetson_specialization,0.37782429868264616,0.5,0.5,17.375,135.625
1786639979.683742,3125856,jetson_specialization,0.36387916484055305,0.5,0.5,32.1875,1123.5625
1786639980.2749825,3125872,jetson_specialization,0.7605282919146286,0.625,0.625,9.625,36.875
1786639980.8761928,3125888,jetson_specialization,0.2838471630340789,0.5,0.5,115.4375,1093.0
1786639981.5121617,3125904,jetson_specialization,1.4749780730586197,0.875,0.875,36.375,598.875
1786639982.15408,3125920,jetson_specialization,0.7186363837196708,0.625,0.625,45.9375,1654.125
1786639982.7308152,3125936,jetson_specialization,0.5793012287664403,0.5625,0.5625,5.625,41.25
1786639983.3104541,3125952,jetson_specialization,0.5672241617049627,0.5625,0.5625,29.3125,1091.0625
1786639983.9055634,3125968,jetson_specialization,0.2229837599960386,0.5,0.5,178.25,502.75
1786639984.482025,3125984,jetson_specialization,0.17979674545805036,0.4375,0.4375,34.4375,726.0
1786639985.0957294,3126000,jetson_specialization,0.7478209353100376,0.625,0.625,18.25,61.875
1786639985.6762402,3126016,jetson_specialization,0.5719059651131625,0.5625,0.5625,14.6875,693.375
1786639986.2515028,3126032,jetson_specialization,0.21135825960653237,0.4375,0.4375,5.0625,17.125
1786639986.8602178,3126048,jetson_specialization,1.301605855276465,0.8125,0.8125,27.625,297.875
1786639987.466953,3126064,jetson_specialization,0.7272528291326176,0.625,0.625,45.4375,893.25
1786639988.0929995,3126080,jetson_specialization,0.1814519979435832,0.4375,0.4375,33.5625,1225.6875
1786639988.733821,3126096,jetson_specialization,0.9168099742494304,0.6875,0.6875,38.5,1047.375
1786639989.325532,3126112,jetson_specialization,0.9300937951087304,0.6875,0.6875,22.75,70.875
1786639989.9351833,3126128,jetson_specialization,1.133455631532713,0.75,0.75,5.875,114.6875
1786639990.4998772,3126144,jetson_specialization,0.1959635741448411,0.4375,0.4375,19.6875,660.0
1786639991.0658205,3126160,jetson_specialization,0.5808136497122196,0.5625,0.5625,8.3125,55.0
1786639991.6338017,3126176,jetson_specialization,0.370261093198193,0.5,0.5,32.3125,99.375
1786639992.217405,3126192,jetson_specialization,0.5997586196285511,0.625,0.625,178.6875,1041.5
1786639992.8425593,3126208,jetson_specialization,0.7435237326317514,0.625,0.625,25.875,927.75
1786639993.4186602,3126224,jetson_specialization,0.5792345040229501,0.5625,0.5625,6.8125,71.5
1786639994.0159733,3126240,jetson_specialization,0.5762170174145743,0.5625,0.5625,8.875,56.9375
1786639994.630718,3126256,jetson_specialization,0.9219949603874508,0.6875,0.6875,31.6875,941.375
1786639995.2046137,3126272,jetson_specialization,0.5437210114915303,0.5625,0.5625,40.75,109.8125
1786639995.828252,3126288,jetson_specialization,0.5492139262737548,0.5625,0.5625,30.25,992.1875
1786639996.442282,3126304,jetson_specialization,0.057052649243050146,0.4375,0.4375,155.6875,1296.6875
1786639997.0619333,3126320,jetson_specialization,1.132513863875427,0.75,0.75,6.875,56.5
1786639997.6541858,3126336,jetson_specialization,0.35308853036770294,0.5,0.5,44.0,149.5
1786639998.227184,3126352,jetson_specialization,0.38454392940027105,0.5,0.5,13.8125,48.0625
1786639998.8807886,3126368,jetson_specialization,1.1199893713695375,0.75,0.75,30.0625,1077.0
1786639999.506724,3126384,jetson_specialization,0.18591644921329947,0.4375,0.4375,29.875,528.5
1786640000.1196282,3126400,jetson_specialization,0.7387177082917761,0.625,0.625,31.4375,1091.8125
1786640000.7256045,3126416,jetson_specialization,0.4452848959123107,0.5625,0.5625,137.5625,300.0
1786640001.3158078,3126432,jetson_specialization,0.9290308830555322,0.6875,0.6875,31.875,702.8125
1786640001.9577954,3126448,jetson_specialization,0.9176650951956634,0.6875,0.6875,32.6875,913.625
1786640002.5795374,3126464,jetson_specialization,0.5383420443573206,0.5625,0.5625,46.1875,1327.1875
1786640003.2112174,3126480,jetson_specialization,0.560608109493656,0.5625,0.5625,21.25,429.3125
1786640003.8015072,3126496,jetson_specialization,0.46125066354239447,0.5625,0.5625,128.0,738.75
1786640004.409987,3126512,jetson_specialization,0.5456181240717409,0.625,0.625,228.8125,1180.625
1786640004.99264,3126528,jetson_specialization,0.561403560191975,0.5625,0.5625,27.0625,134.3125
1786640005.5830863,3126544,jetson_specialization,-0.00011598361915421407,0.375,0.375,22.0625,92.1875
1786640006.1739376,3126560,jetson_specialization,0.9417894527423771,0.6875,0.6875,15.75,48.3125
1786640006.796631,3126576,jetson_specialization,1.097738687764128,0.75,0.75,46.0,1053.375
1786640007.4608226,3126592,jetson_specialization,0.908041242185567,0.6875,0.6875,44.8125,1130.4375
1786640008.0667071,3126608,jetson_specialization,0.9519693317356945,0.6875,0.6875,6.375,119.375
1786640008.7040093,3126624,jetson_specialization,1.1235413162027734,0.75,0.75,16.0625,547.375
1786640009.3189416,3126640,jetson_specialization,0.7497037491435681,0.625,0.625,17.25,68.5
1786640009.929645,3126656,jetson_specialization,0.9209211280240338,0.6875,0.6875,38.4375,1102.125
1786640010.5113394,3126672,jetson_specialization,0.5754491463146437,0.5625,0.5625,11.1875,27.125
1786640011.1105301,3126688,jetson_specialization,0.7527730694958781,0.625,0.625,18.3125,130.0
1786640011.7059934,3126704,jetson_specialization,0.19832249762575177,0.4375,0.4375,14.9375,69.9375
1786640012.26635,3126720,jetson_specialization,0.39271459183461294,0.5,0.5,10.5,47.75
1786640012.8617191,3126736,jetson_specialization,0.7481363503287656,0.625,0.625,19.6875,69.875
1786640013.4958696,3126752,jetson_specialization,0.9152614129845585,0.6875,0.6875,30.4375,376.25
1786640014.1531112,3126768,jetson_specialization,0.9014180571471779,0.6875,0.6875,53.875,2079.875
